epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.182,1.65333,5.86054,1.27543,0.00089,0.88889,0.1813,0.05821,1.33111,5.44326,1.0817,0.00026,0.00026,0.00026
2,15.2606,1.79256,2.88609,1.34068,0.001,1,0.05891,0.01719,1.22006,5.71166,1.08322,0.000534654,0.000534654,0.000534654
3,16.7516,1.7427,3.08298,1.31869,0.00089,0.88889,0.00392,0.00232,1.40926,5.43361,1.13698,0.000803764,0.000803764,0.000803764
4,18.7206,1.59387,4.23348,1.28362,0.001,1,0.00522,0.0028,1.41423,5.65849,1.16494,0.00106733,0.00106733,0.00106733
5,20.1906,1.75487,2.32629,1.4124,0.27279,0.70967,0.28316,0.15447,1.43306,4.76724,1.20101,0.00132535,0.00132535,0.00132535
6,21.7116,1.83665,2.51603,1.33896,0.3012,0.55556,0.31782,0.14552,1.67846,3.9842,1.30347,0.00157783,0.00157783,0.00157783
7,23.1756,1.78342,2.15528,1.39727,0.21287,0.44444,0.20895,0.11084,1.78888,3.72074,1.42501,0.00182476,0.00182476,0.00182476
8,24.6626,1.68419,2.00521,1.34765,0.2359,0.55556,0.24418,0.12498,1.53964,4.29655,1.32426,0.0018614,0.0018614,0.0018614
9,26.1346,1.74198,1.89785,1.38587,0.22944,0.33333,0.14283,0.08289,1.63003,4.21453,1.49733,0.0018416,0.0018416,0.0018416
10,27.6136,1.69235,1.74907,1.39334,0.24147,0.88889,0.29211,0.17249,1.6179,4.50717,1.45979,0.0018218,0.0018218,0.0018218
11,29.1816,1.66458,1.82348,1.38361,0.2176,0.88889,0.21187,0.10637,1.48192,4.75146,1.35459,0.001802,0.001802,0.001802
12,30.6546,1.65254,1.59665,1.40568,0.23584,0.55556,0.25519,0.14747,1.56418,7.59794,1.31063,0.0017822,0.0017822,0.0017822
13,32.0808,1.76953,1.5992,1.37582,0.39166,0.55556,0.3744,0.18857,1.61833,5.59722,1.43566,0.0017624,0.0017624,0.0017624
14,33.5526,1.65688,1.52057,1.30716,0.23349,0.77778,0.24347,0.1279,1.69542,6.33219,1.37174,0.0017426,0.0017426,0.0017426
15,34.9926,1.79537,1.46698,1.3453,0.32347,0.55556,0.3704,0.19841,1.66959,5.86797,1.43807,0.0017228,0.0017228,0.0017228
16,36.4598,1.67961,1.3469,1.34823,0.27504,0.44444,0.31698,0.16751,1.56673,6.3579,1.29842,0.001703,0.001703,0.001703
17,37.921,1.67638,1.39583,1.3679,0.1944,0.66667,0.18329,0.10906,1.59175,4.70127,1.36227,0.0016832,0.0016832,0.0016832
18,39.4768,1.72018,1.34876,1.35784,0.22494,0.55556,0.25713,0.15808,1.61954,5.67029,1.39964,0.0016634,0.0016634,0.0016634
19,40.9268,1.47695,1.19901,1.23952,0.2256,0.55556,0.19754,0.11246,1.63182,7.72448,1.37159,0.0016436,0.0016436,0.0016436
