epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3392,0.895,0.54585,0.95744,0.15196,0.79672,0.18447,0.10813,0.82709,33.5256,0.85683,0.00016,0.00016,0.00016
2,11.5919,0.95084,0.57364,0.97817,0.15978,0.88889,0.19127,0.11612,0.88023,24.1443,0.88471,0.00030634,0.00030634,0.00030634
3,12.7936,0.96903,0.55966,0.97944,0.147,0.88889,0.14007,0.08341,0.87339,38.6576,0.88197,0.00041704,0.00041704,0.00041704
4,14.0571,1.01439,0.62613,1.012,0.16065,0.72372,0.17794,0.09354,0.95379,27.3477,0.99636,0.0004921,0.0004921,0.0004921
5,15.2369,0.9808,0.6327,1.00706,0.14747,0.88889,0.15325,0.08937,0.85515,33.0252,0.89485,0.00053152,0.00053152,0.00053152
6,16.3316,0.98766,0.65471,0.96661,0.15465,0.88889,0.15259,0.08403,0.85454,51.5524,0.90267,0.0005353,0.0005353,0.0005353
7,17.429,0.9478,0.64085,0.97504,0.15306,0.88889,0.14224,0.07033,0.93348,35.3379,0.98865,0.00050344,0.00050344,0.00050344
8,18.5203,0.98438,0.62287,0.98195,0.16145,0.88889,0.15157,0.06968,0.91911,25.2631,0.96851,0.00043594,0.00043594,0.00043594
9,19.6088,0.97625,0.63858,0.99221,0.1531,0.88889,0.14561,0.07133,0.88888,29.1215,0.91664,0.0003328,0.0003328,0.0003328
10,20.7481,0.92258,0.56293,0.96144,0.1543,0.88889,0.14554,0.07333,0.88032,31.9812,0.91146,0.00019402,0.00019402,0.00019402
