epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.59562,0.91706,0.59511,0.98056,0.16058,0.88889,0.16236,0.07799,0.92133,22.9899,0.91257,0.00016,0.00016,0.00016
2,12.0827,0.77842,0.55463,0.92835,0.149,0.77778,0.13281,0.08033,0.81112,38.05,0.84948,0.00030634,0.00030634,0.00030634
3,14.2235,0.78336,0.56341,0.94167,0.17274,0.77778,0.34502,0.21709,0.93836,26.1025,0.96524,0.00041704,0.00041704,0.00041704
4,17.6923,0.85094,0.57423,0.92769,0.30596,0.88889,0.5067,0.21715,0.77974,29.8345,0.83239,0.0004921,0.0004921,0.0004921
5,20.038,0.94056,0.59162,0.95962,0.16752,0.77778,0.21449,0.10878,0.8996,32.0395,0.93859,0.00053152,0.00053152,0.00053152
6,21.6457,1.02685,0.65072,1.00149,0.16904,0.66667,0.17803,0.09946,0.93128,24.8811,0.94878,0.0005353,0.0005353,0.0005353
7,23.1536,1.00586,0.68836,0.99821,0.13924,0.66667,0.16363,0.08799,0.90412,27.4446,0.93046,0.00050344,0.00050344,0.00050344
8,24.5756,0.98307,0.63164,0.99633,0.15816,0.77778,0.15272,0.08366,0.87203,30.8337,0.91801,0.00043594,0.00043594,0.00043594
9,25.9474,1.00964,0.63076,1.02132,0.15065,0.66667,0.18285,0.10075,0.82549,28.785,0.87521,0.0003328,0.0003328,0.0003328
10,27.2782,0.99554,0.59731,0.98797,0.17112,0.66667,0.23806,0.13848,0.80823,28.7527,0.85751,0.00019402,0.00019402,0.00019402
