epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6847,0.89118,0.61595,0.97709,0.15334,0.88889,0.18388,0.11103,0.80143,28.1377,0.84459,0.00016,0.00016,0.00016
2,12.9297,0.80155,0.57442,0.93355,0.16316,0.88889,0.16562,0.09102,0.90106,32.424,0.90531,0.00030634,0.00030634,0.00030634
3,14.0338,0.8441,0.59846,0.95879,0.18879,0.88889,0.20207,0.12497,0.75532,25.0113,0.78998,0.00041704,0.00041704,0.00041704
4,15.3068,0.85373,0.59068,0.93448,0.149,0.88889,0.15487,0.08094,0.85817,34.7936,0.88058,0.0004921,0.0004921,0.0004921
5,17.4574,0.96415,0.64008,0.98321,0.15889,0.88889,0.17648,0.08367,0.96238,23.359,0.95434,0.00053152,0.00053152,0.00053152
6,18.5757,1.04909,0.6872,1.02693,0.20011,0.77778,0.26458,0.13504,0.78612,23.6531,0.8254,0.0005353,0.0005353,0.0005353
7,19.6841,1.06508,0.71825,1.0315,0.18349,0.77778,0.183,0.09256,0.87602,21.6021,0.90908,0.00050344,0.00050344,0.00050344
8,20.7119,1.03222,0.67305,1.01666,0.16852,0.88889,0.17061,0.0856,0.90088,25.9355,0.91921,0.00043594,0.00043594,0.00043594
9,21.7896,1.04746,0.65365,1.05117,0.16841,0.88889,0.17079,0.09488,0.82737,27.7455,0.86601,0.0003328,0.0003328,0.0003328
10,22.92,1.00564,0.6348,1.00127,0.15571,0.79954,0.17182,0.09854,0.79596,27.0276,0.8376,0.00019402,0.00019402,0.00019402
