epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10681,0.99831,0.62216,1.02664,0.15448,0.88889,0.16365,0.09988,0.82636,37.2786,0.83868,0.00016,0.00016,0.00016
2,10.3949,0.98962,0.62733,1.00086,0.14863,0.88889,0.20095,0.11576,0.91519,28.4766,0.89745,0.00030634,0.00030634,0.00030634
3,11.513,0.9565,0.58159,0.97297,0.15489,0.88889,0.14581,0.07039,1.00149,30.266,0.99271,0.00041704,0.00041704,0.00041704
4,13.7584,0.9705,0.57985,0.97307,0.14647,0.88889,0.15736,0.08069,0.91862,37.254,0.92785,0.0004921,0.0004921,0.0004921
5,15.161,0.96361,0.6013,1.00277,0.1592,0.88889,0.14907,0.07793,0.8399,25.4189,0.83944,0.00053152,0.00053152,0.00053152
6,16.4667,0.9314,0.60956,0.96997,0.16056,0.88889,0.15256,0.08099,0.88456,28.9456,0.90303,0.0005353,0.0005353,0.0005353
7,17.8011,0.94984,0.58405,0.99251,0.15191,0.88889,0.14705,0.08065,0.82686,32.9338,0.83518,0.00050344,0.00050344,0.00050344
8,19.1,0.98703,0.59178,0.97864,0.14466,0.88889,0.14607,0.07941,0.86344,32.8907,0.85683,0.00043594,0.00043594,0.00043594
9,20.6272,0.92588,0.57312,0.97418,0.13942,0.88889,0.15877,0.08623,0.88684,31.0647,0.88602,0.0003328,0.0003328,0.0003328
10,22.0103,0.94399,0.59106,0.97878,0.13823,0.88889,0.15453,0.08456,0.87192,31.7692,0.87301,0.00019402,0.00019402,0.00019402
