epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,188.368,0.92656,1.00116,1.01411,0.85455,0.88889,0.81299,0.47453,1.68196,1.88544,1.34246,0.00134657,0.00134657,0.00134657
44,192.05,0.92835,0.9264,0.98635,0.8869,0.873,0.8253,0.45233,1.80406,1.95064,1.36141,0.00136964,0.00136964,0.00136964
45,195.734,0.94282,0.85974,0.95937,0.8869,0.873,0.8253,0.45233,1.80406,1.95064,1.36141,0.00139232,0.00139232,0.00139232
46,199.446,0.88775,0.8766,0.93418,0.86592,0.88889,0.81312,0.48754,1.72573,1.59458,1.34323,0.0014146,0.0014146,0.0014146
47,203.171,0.89597,0.94231,0.96553,0.86592,0.88889,0.81312,0.48754,1.72573,1.59458,1.34323,0.00143648,0.00143648,0.00143648
48,206.888,0.90909,0.85557,0.94634,0.8719,0.88889,0.82514,0.5359,1.47513,1.43371,1.20915,0.00145797,0.00145797,0.00145797
49,210.505,0.81669,0.93753,0.90015,0.8719,0.88889,0.82514,0.5359,1.47513,1.43371,1.20915,0.00147906,0.00147906,0.00147906
50,214.209,0.94721,0.88851,1.01296,0.87589,0.88889,0.83741,0.5312,1.51533,1.45878,1.24072,0.00149975,0.00149975,0.00149975
51,217.904,0.8842,0.88674,0.91656,0.87589,0.88889,0.83741,0.5312,1.51533,1.45878,1.24072,0.001505,0.001505,0.001505
52,221.592,0.96345,0.9246,0.96451,0.88883,0.88841,0.8613,0.5336,1.56729,1.43366,1.30252,0.0014951,0.0014951,0.0014951
53,225.254,0.95638,2.37778,0.91554,0.88883,0.88841,0.8613,0.5336,1.56729,1.43366,1.30252,0.0014852,0.0014852,0.0014852
54,228.972,1.00632,1.0274,1.01191,0.86921,0.88889,0.873,0.50116,1.63524,1.57028,1.32085,0.0014753,0.0014753,0.0014753
55,232.654,0.96768,0.94692,0.97994,0.86921,0.88889,0.873,0.50116,1.63524,1.57028,1.32085,0.0014654,0.0014654,0.0014654
56,236.337,0.85313,0.97726,0.96396,0.95015,0.88889,0.88555,0.51979,1.48068,1.38909,1.25939,0.0014555,0.0014555,0.0014555
57,240.008,0.83152,0.81907,0.93461,0.95015,0.88889,0.88555,0.51979,1.48068,1.38909,1.25939,0.0014456,0.0014456,0.0014456
58,243.786,1.06672,0.92241,1.02885,0.87269,0.88889,0.87361,0.56763,1.5639,1.15902,1.25345,0.0014357,0.0014357,0.0014357
59,247.405,0.74799,0.8718,0.91502,0.87269,0.88889,0.87361,0.56763,1.5639,1.15902,1.25345,0.0014258,0.0014258,0.0014258
60,251.087,0.86659,0.84905,0.97689,0.88735,0.87654,0.87401,0.57863,1.66667,1.20606,1.28102,0.0014159,0.0014159,0.0014159
61,254.8,0.79766,0.78855,0.92364,0.88735,0.87654,0.87401,0.57863,1.66667,1.20606,1.28102,0.001406,0.001406,0.001406
62,258.452,0.82628,0.7931,0.9569,0.98167,0.77778,0.93878,0.58151,1.62915,1.29154,1.25685,0.0013961,0.0013961,0.0013961
63,262.157,0.81396,0.86152,0.94812,0.98167,0.77778,0.93878,0.58151,1.62915,1.29154,1.25685,0.0013862,0.0013862,0.0013862
64,265.843,0.79378,0.77247,0.99334,0.99538,0.77778,0.94349,0.53591,1.72127,1.34939,1.29746,0.0013763,0.0013763,0.0013763
65,269.537,0.70371,0.77943,0.92789,0.99538,0.77778,0.94349,0.53591,1.72127,1.34939,1.29746,0.0013664,0.0013664,0.0013664
66,273.156,0.77441,0.80363,0.93043,0.88678,0.87203,0.87371,0.48131,1.8444,1.23604,1.35965,0.0013565,0.0013565,0.0013565
67,276.829,0.72624,0.74028,0.89849,0.88678,0.87203,0.87371,0.48131,1.8444,1.23604,1.35965,0.0013466,0.0013466,0.0013466
68,280.62,0.90518,0.82475,0.96723,0.8932,0.93202,0.973,0.5271,1.70229,1.11609,1.3025,0.0013367,0.0013367,0.0013367
69,284.223,0.81817,0.77711,0.9347,0.8932,0.93202,0.973,0.5271,1.70229,1.11609,1.3025,0.0013268,0.0013268,0.0013268
70,287.896,0.78598,0.89524,0.95374,0.88853,0.88603,0.94893,0.56744,1.62571,1.08852,1.2474,0.0013169,0.0013169,0.0013169
